Date,International Airline Passengers (thousands)
31-Dec-1960,432
30-Nov-1960,390
31-Oct-1960,461
30-Sep-1960,508
31-Aug-1960,606
31-Jul-1960,622
30-Jun-1960,535
31-May-1960,472
30-Apr-1960,461
31-Mar-1960,419
29-Feb-1960,391
31-Jan-1960,417
31-Dec-1959,405
30-Nov-1959,362
31-Oct-1959,407
30-Sep-1959,463
31-Aug-1959,559
31-Jul-1959,548
30-Jun-1959,472
31-May-1959,420
30-Apr-1959,396
31-Mar-1959,406
28-Feb-1959,342
31-Jan-1959,360
31-Dec-1958,337
30-Nov-1958,310
31-Oct-1958,359
30-Sep-1958,404
31-Aug-1958,505
31-Jul-1958,491
30-Jun-1958,435
31-May-1958,363
30-Apr-1958,348
31-Mar-1958,362
28-Feb-1958,318
31-Jan-1958,340
31-Dec-1957,336
30-Nov-1957,305
31-Oct-1957,347
30-Sep-1957,404
31-Aug-1957,467
31-Jul-1957,465
30-Jun-1957,422
31-May-1957,355
30-Apr-1957,348
31-Mar-1957,356
28-Feb-1957,301
31-Jan-1957,315
31-Dec-1956,306
30-Nov-1956,271
31-Oct-1956,306
30-Sep-1956,355
31-Aug-1956,405
31-Jul-1956,413
30-Jun-1956,374
31-May-1956,318
30-Apr-1956,313
31-Mar-1956,317
29-Feb-1956,277
31-Jan-1956,284
31-Dec-1955,278
30-Nov-1955,237
31-Oct-1955,274
30-Sep-1955,312
31-Aug-1955,347
31-Jul-1955,364
30-Jun-1955,315
31-May-1955,270
30-Apr-1955,269
31-Mar-1955,267
28-Feb-1955,233
31-Jan-1955,242
31-Dec-1954,229
30-Nov-1954,203
31-Oct-1954,229
30-Sep-1954,259
31-Aug-1954,293
31-Jul-1954,302
30-Jun-1954,264
31-May-1954,234
30-Apr-1954,227
31-Mar-1954,235
28-Feb-1954,188
31-Jan-1954,204
31-Dec-1953,201
30-Nov-1953,180
31-Oct-1953,211
30-Sep-1953,237
31-Aug-1953,272
31-Jul-1953,264
30-Jun-1953,243
31-May-1953,229
30-Apr-1953,235
31-Mar-1953,236
28-Feb-1953,196
31-Jan-1953,196
31-Dec-1952,194
30-Nov-1952,172
31-Oct-1952,191
30-Sep-1952,209
31-Aug-1952,242
31-Jul-1952,230
30-Jun-1952,218
31-May-1952,183
30-Apr-1952,181
31-Mar-1952,193
29-Feb-1952,180
31-Jan-1952,171
31-Dec-1951,166
30-Nov-1951,146
31-Oct-1951,162
30-Sep-1951,184
31-Aug-1951,199
31-Jul-1951,199
30-Jun-1951,178
31-May-1951,172
30-Apr-1951,163
31-Mar-1951,178
28-Feb-1951,150
31-Jan-1951,145
31-Dec-1950,140
30-Nov-1950,114
31-Oct-1950,133
30-Sep-1950,158
31-Aug-1950,170
31-Jul-1950,170
30-Jun-1950,149
31-May-1950,125
30-Apr-1950,135
31-Mar-1950,141
28-Feb-1950,126
31-Jan-1950,115
31-Dec-1949,118
30-Nov-1949,104
31-Oct-1949,119
30-Sep-1949,136
31-Aug-1949,148
31-Jul-1949,148
30-Jun-1949,135
31-May-1949,121
30-Apr-1949,129
31-Mar-1949,132
28-Feb-1949,118
31-Jan-1949,112
